# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 9699 5 37 53 2628790 5 /openedx/staticfiles/edx-bootstrap/node_modules/bootstrap/scss/utilities/_clearfix.01ed6cc70519.scss
DUPTYPE_WITHIN_SAME_TREE -9699 5 37 53 2621882 5 /openedx/staticfiles/edx-bootstrap/node_modules/bootstrap/scss/utilities/_clearfix.scss
DUPTYPE_FIRST_OCCURRENCE 12715 6 40 53 3675661 5 /openedx/staticfiles/js/bower/jquery/src/ajax/var/rquery.86cc4813fe7e.js
DUPTYPE_WITHIN_SAME_TREE -12715 7 40 53 3804164 5 /openedx/staticfiles/studio/js/bower/jquery/src/ajax/var/rquery.js
DUPTYPE_WITHIN_SAME_TREE -12715 7 40 53 3808306 5 /openedx/staticfiles/studio/js/bower/jquery/src/ajax/var/rquery.86cc4813fe7e.js
DUPTYPE_WITHIN_SAME_TREE -12715 10 40 53 3807158 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/ajax/var/rquery.86cc4813fe7e.js
DUPTYPE_WITHIN_SAME_TREE -12715 6 40 53 3675212 5 /openedx/staticfiles/js/bower/jquery/src/ajax/var/rquery.js
DUPTYPE_WITHIN_SAME_TREE -12715 10 40 53 3801377 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/ajax/var/rquery.js
DUPTYPE_WITHIN_SAME_TREE -12715 11 40 53 3807804 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/ajax/var/rquery.86cc4813fe7e.js
DUPTYPE_WITHIN_SAME_TREE -12715 11 40 53 3804775 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/ajax/var/rquery.js
DUPTYPE_FIRST_OCCURRENCE 10025 5 42 53 3675756 5 /openedx/staticfiles/js/bower/jquery/src/var/rnotwhite.b1e91d127880.js
DUPTYPE_WITHIN_SAME_TREE -10025 9 42 53 3801420 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/rnotwhite.js
DUPTYPE_WITHIN_SAME_TREE -10025 10 42 53 3804818 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/rnotwhite.js
DUPTYPE_WITHIN_SAME_TREE -10025 6 42 53 3808932 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/rnotwhite.b1e91d127880.js
DUPTYPE_WITHIN_SAME_TREE -10025 6 42 53 3804207 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/rnotwhite.js
DUPTYPE_WITHIN_SAME_TREE -10025 5 42 53 3675255 5 /openedx/staticfiles/js/bower/jquery/src/var/rnotwhite.js
DUPTYPE_WITHIN_SAME_TREE -10025 9 42 53 3807226 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/rnotwhite.b1e91d127880.js
DUPTYPE_WITHIN_SAME_TREE -10025 10 42 53 3807872 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/rnotwhite.b1e91d127880.js
DUPTYPE_FIRST_OCCURRENCE 12579 6 43 53 2628543 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/ListBox/ListBox.44f280bf3344.scss
DUPTYPE_WITHIN_SAME_TREE -12579 6 43 53 2628665 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/ListBox/ListBox.44f280bf3344.scss
DUPTYPE_WITHIN_SAME_TREE -12579 6 43 53 2628646 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/ListBoxOption/ListBoxOption.44f280bf3344.scss
DUPTYPE_WITHIN_SAME_TREE -12579 6 43 53 2623590 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/ListBoxOption/ListBoxOption.scss
DUPTYPE_WITHIN_SAME_TREE -12579 6 43 53 2628519 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/ListBoxOption/ListBoxOption.44f280bf3344.scss
DUPTYPE_WITHIN_SAME_TREE -12579 6 43 53 2623614 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/ListBox/ListBox.scss
DUPTYPE_WITHIN_SAME_TREE -12579 6 43 53 2622620 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/ListBox/ListBox.scss
DUPTYPE_WITHIN_SAME_TREE -12579 6 43 53 2622590 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/ListBoxOption/ListBoxOption.scss
DUPTYPE_FIRST_OCCURRENCE 4425 3 43 53 30808491 5 /openedx/staticfiles/js/capa/genex/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4425 4 43 53 2629953 5 /openedx/staticfiles/studio/js/capa/jsme/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4425 4 43 53 2496027 5 /openedx/staticfiles/studio/js/capa/genex/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4425 4 43 53 2239795 5 /openedx/staticfiles/studio/js/capa/jsmolcalc/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4425 4 43 53 1976339 5 /openedx/staticfiles/studio/vendor/jsme/jsme/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4425 3 43 53 30808479 5 /openedx/staticfiles/js/capa/jsmolcalc/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4425 4 43 53 2103724 5 /openedx/staticfiles/studio/js/capa/protex/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4425 4 43 53 1976250 5 /openedx/staticfiles/studio/vendor/jsme/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4425 3 43 53 30808521 5 /openedx/staticfiles/js/capa/jsme/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4425 4 43 53 2628168 5 /openedx/staticfiles/studio/js/capa/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4425 3 43 53 30805910 5 /openedx/staticfiles/js/capa/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4425 3 43 53 30937514 5 /openedx/staticfiles/vendor/jsme/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4425 3 43 53 30938142 5 /openedx/staticfiles/vendor/jsme/jsme/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4425 4 43 53 2239737 5 /openedx/staticfiles/studio/js/capa/jsmolcalc/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4425 3 43 53 30808468 5 /openedx/staticfiles/js/capa/protex/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4425 4 43 53 2498570 5 /openedx/staticfiles/studio/js/capa/genex/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4425 4 43 53 2103608 5 /openedx/staticfiles/studio/js/capa/protex/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4425 3 43 53 30805826 5 /openedx/staticfiles/js/capa/protex/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4425 3 43 53 30805839 5 /openedx/staticfiles/js/capa/jsmolcalc/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4425 3 43 53 30805867 5 /openedx/staticfiles/js/capa/genex/clear.cache.gif
DUPTYPE_FIRST_OCCURRENCE 16211 8 43 53 30808290 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/trans.12bf9e193749.gif
DUPTYPE_WITHIN_SAME_TREE -16211 9 43 53 3807886 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/trans.12bf9e193749.gif
DUPTYPE_WITHIN_SAME_TREE -16211 8 43 53 30806282 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/trans.gif
DUPTYPE_WITHIN_SAME_TREE -16211 9 43 53 3801898 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/trans.gif
DUPTYPE_FIRST_OCCURRENCE 3597 2 44 53 2498053 5 /openedx/staticfiles/templates/learner_dashboard/sidebar.a51ef756c536.underscore
DUPTYPE_WITHIN_SAME_TREE -3597 2 44 53 2495814 5 /openedx/staticfiles/templates/learner_dashboard/sidebar.underscore
DUPTYPE_FIRST_OCCURRENCE 12725 6 45 53 3675669 5 /openedx/staticfiles/js/bower/jquery/src/css/var/rmargin.028581c37c9d.js
DUPTYPE_WITHIN_SAME_TREE -12725 10 45 53 3807166 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/css/var/rmargin.028581c37c9d.js
DUPTYPE_WITHIN_SAME_TREE -12725 7 45 53 3808314 5 /openedx/staticfiles/studio/js/bower/jquery/src/css/var/rmargin.028581c37c9d.js
DUPTYPE_WITHIN_SAME_TREE -12725 10 45 53 3801416 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/css/var/rmargin.js
DUPTYPE_WITHIN_SAME_TREE -12725 7 45 53 3804203 5 /openedx/staticfiles/studio/js/bower/jquery/src/css/var/rmargin.js
DUPTYPE_WITHIN_SAME_TREE -12725 11 45 53 3807812 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/css/var/rmargin.028581c37c9d.js
DUPTYPE_WITHIN_SAME_TREE -12725 6 45 53 3675251 5 /openedx/staticfiles/js/bower/jquery/src/css/var/rmargin.js
DUPTYPE_WITHIN_SAME_TREE -12725 11 45 53 3804814 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/css/var/rmargin.js
DUPTYPE_FIRST_OCCURRENCE 16213 8 46 53 30808289 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.c136c9f8e007.gif
DUPTYPE_WITHIN_SAME_TREE -16213 9 46 53 3807885 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.c136c9f8e007.gif
DUPTYPE_WITHIN_SAME_TREE -16213 8 46 53 30806281 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.gif
DUPTYPE_WITHIN_SAME_TREE -16213 9 46 53 3801897 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.gif
DUPTYPE_FIRST_OCCURRENCE 7337 4 48 53 2496652 5 /openedx/staticfiles/css/vendor/slickgrid/images/header-columns-over-bg.d8a4e91fcc30.gif
DUPTYPE_WITHIN_SAME_TREE -7337 5 48 53 2753935 5 /openedx/staticfiles/studio/css/vendor/slickgrid/images/header-columns-over-bg.d8a4e91fcc30.gif
DUPTYPE_WITHIN_SAME_TREE -7337 4 48 53 2492039 5 /openedx/staticfiles/css/vendor/slickgrid/images/header-columns-over-bg.gif
DUPTYPE_WITHIN_SAME_TREE -7337 5 48 53 2753739 5 /openedx/staticfiles/studio/css/vendor/slickgrid/images/header-columns-over-bg.gif
DUPTYPE_FIRST_OCCURRENCE 10029 5 50 53 3675755 5 /openedx/staticfiles/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_WITHIN_SAME_TREE -10029 10 50 53 3804817 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -10029 6 50 53 3808931 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_WITHIN_SAME_TREE -10029 9 50 53 3807225 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_WITHIN_SAME_TREE -10029 6 50 53 3804206 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -10029 10 50 53 3807871 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_WITHIN_SAME_TREE -10029 5 50 53 3675254 5 /openedx/staticfiles/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -10029 9 50 53 3801419 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.js
DUPTYPE_FIRST_OCCURRENCE 4033 3 52 53 2497150 5 /openedx/staticfiles/common/js/vendor/index.55c2f095862b.js
DUPTYPE_WITHIN_SAME_TREE -4033 3 52 53 2494409 5 /openedx/staticfiles/common/js/vendor/index.js
DUPTYPE_WITHIN_SAME_TREE -4033 4 52 53 3809522 5 /openedx/staticfiles/studio/common/js/vendor/index.55c2f095862b.js
DUPTYPE_WITHIN_SAME_TREE -4033 4 52 53 3802645 5 /openedx/staticfiles/studio/common/js/vendor/index.js
DUPTYPE_FIRST_OCCURRENCE 16205 8 53 53 30808288 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.abd361357180.gif
DUPTYPE_WITHIN_SAME_TREE -16205 8 53 53 30806280 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.gif
DUPTYPE_WITHIN_SAME_TREE -16205 9 53 53 3801896 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.gif
DUPTYPE_WITHIN_SAME_TREE -16205 9 53 53 3807884 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.abd361357180.gif
DUPTYPE_FIRST_OCCURRENCE 401 1 53 53 3284255 5 /openedx/staticfiles/flags/__.3e5d99b5dd7b.gif
DUPTYPE_WITHIN_SAME_TREE -401 1 53 53 3283931 5 /openedx/staticfiles/flags/__.gif
DUPTYPE_FIRST_OCCURRENCE 9831 5 54 53 2628772 5 /openedx/staticfiles/edx-bootstrap/node_modules/jquery/src/var/arr.d88b9159a635.js
DUPTYPE_WITHIN_SAME_TREE -9831 5 54 53 2621812 5 /openedx/staticfiles/edx-bootstrap/node_modules/jquery/src/var/arr.js
DUPTYPE_FIRST_OCCURRENCE 5223 3 57 53 2629491 5 /openedx/staticfiles/paragon/src/Icon/Icon.699670200795.scss
DUPTYPE_WITHIN_SAME_TREE -5223 6 57 53 2623604 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/Icon/Icon.scss
DUPTYPE_WITHIN_SAME_TREE -5223 6 57 53 2628535 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/Icon/Icon.699670200795.scss
DUPTYPE_WITHIN_SAME_TREE -5223 6 57 53 2628657 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/Icon/Icon.699670200795.scss
